Line #,Name,Description,Designator,Revision ID,Revision Status,Quantity,Manufacturer 1,Manufacturer Part Number 1,Manufacturer Lifecycle 1,Supplier 1,Supplier Part Number 1,Supplier Unit Price 1,Supplier Subtotal 1
,C0805C569C5GACTU,C0805C569C5GACTU,C14,CMP-001-00134-1,Up to date,1,KEMET,C0805C569C5GACTU,Volume Production,Mouser,80-C0805C569C5G,0.34,0.34
,10-89-7140,10-89-7140,CONN4,CMP-002-00076-2,Up to date,1,Molex,10-89-7140,Volume Production,Newark,90M4106,0.355,0.355
,EG1218,EG1218,SW2,CMP-011-00006-2,Up to date,1,E-Switch,EG1218,Volume Production,Future Electronics,9403163,0.395,0.395
,GQM2195C2E6R8BB12D,GQM2195C2E6R8BB12D,"C24, C25",CMP-001-00143-1,Up to date,2,Murata,GQM2195C2E6R8BB12D,Volume Production,Digikey,490-GQM2195C2E6R8BB12DCT-ND,0.53,1.06
,NX3225GA-26MHZ-TI,NX3225GA-26MHZ-TI,XTAL,CMP-003-00033-2,Up to date,1,NDK,NX3225GA-26MHZ-TI,Unknown,Mouser,344-NX3225GA26MHZTI,0.65,0.65
,10-89-7080,10-89-7080,"CONN2, CONN5, CONN6",CMP-002-00075-2,Up to date,3,Molex,10-89-7080,Volume Production,Mouser,538-10-89-7080,0.93,2.79
,CC1101RGP,CC1101RGP,XCVR,CMP-00025-00007-1,Up to date,1,Texas Instruments,CC1101RGP,Volume Production,Arrow Electronics,CC1101RGP,1.07,1.07
,B39431R0820H210,B39431R0820H210,SAW,CMP-00025-00006-2,Up to date,1,Qualcomm,B39431R0820H210,Unknown,Digikey,495-2378-1-ND,1.11,1.11
,PE4251MLI-Z,PE4251MLI-Z,SW1,CMP-031-00015-2,Up to date,1,pSemi,PE4251MLI-Z,Volume Production,Digikey,1046-1018-1-ND,1.42,1.42
,10-89-7120,10-89-7120,"CONN1, CONN3, CONN7, CONN8",CMP-002-00074-3,Up to date,4,Molex,10-89-7120,Volume Production,Mouser,538-10-89-7120,1.44,5.76
,1725656,1725656,"J1, J2",CMP-2000-05299-1,Up to date,2,Phoenix Contact,1725656,Volume Production,Mouser,651-1725656,1.67,3.34
,CONMCX002,CONMCX002,J3,CMP-00025-00005-4,Out of date,1,TE Connectivity / Linx Technologies,CONMCX002,Unknown,Digikey,CONMCX002-ND,5.1,5.1
,STM32H745ZIT3,STM32H745ZIT3,MCU,CMP-058-000001-2,Out of date,1,STMicroelectronics,STM32H745ZIT3,Volume Production,Future Electronics,8182410,11.61,11.61
